text,label
"Jacob Zachar is an American actor whose roles include Russell ""Rusty"" Cartwright on the ABC Family TV Series Greek.",1
"Frank Zagarino is an American actor, star of low budget action movies.",1
John Zaremba was an American actor most noted for supporting roles on science fiction films and television series.,1
Michael Zarnock is an American writer of collector guides and articles about Hot Wheels toy cars and accessories.,1
Adrian Zaw is an American actor best known for his role of Syrus Primoris on the SyFy channel television series The Resistance on the SyFy channel.,1
"Terrance Zdunich  is an American artist, singer, actor, writer, composer, producer, illustrator and storyboard artist.",1
"Alfred Zeisler was an American-born German film producer, director, actor and screenwriter.",1
"Enzo Zelocchi is an Italian/American, Hollywood film producer, actor and businessman.",1
John Zenda was an American actor who starred in films and on television.,1
John Zibell is an independent actor/writer/director who has worked in New York City and Regional Theater and film.,1
"Wolfgang Zilzer was an American stage and film actor, often under the stage name Paul Andor.",1
"Wolfgang Zilzer died in Berlin on June 26, 1991 aged 90 and is buried at the Waldfriedhof Zehlendorf.",1
Efrem Zimbalist Jr. was an American actor known for his starring roles in the television series 77 Sunset Strip and The F.B.I.,1
"He is sometimes credited as Joey Zimmerman, Joseph Zimmerman, J. Paul Zimmerman and J.P. Zimmerman.",1
"Steve Zissis
is an American actor, screenwriter and producer.",1
"Bob Zmuda is an American writer, comedian, producer, and director best known for his friendship with cult personality Andy Kaufman.",1
"On camera, the character of Bob Zmuda was played by Paul Giamatti.",1
"Adam Zolotin is an American actor, best known for appearing in Leave It to Beaver and Jack.",1
"Michael Zorek is an American film and television actor perhaps best known for such films and television series as Private School, Family Ties, The Facts of Life, Hot Moves, The Woman in Red, Camp Nowhere and Teen Wolf Too.In June 2002, Zorek was featured in an article in The New York Times about life as a stay-at-home father after leaving his job as an account executive at a Manhattan public relations firm.",1
Daniel Zovatto is a Costa Rican American film and television actor.,1
"Albert Zugsmith was an American film producer, film director and screenwriter who specialized in low-budget exploitation films through the 1950s and 1960s.",1
"Jim Zulevic was an American actor, improvisational comedian, television writer, and radio host.",1
"Alan Zweibel is an American television writer, author, playwright, and screenwriter who was one of the original Saturday Night Live writers, a co-creator of It's Garry Shandling's Show, and consulting producer on Curb Your Enthusiasm.",1
