text,label
"Jacob Zachar is an American actor whose roles include Russell ""Rusty"" Cartwright on the ABC Family TV Series Greek.",0
"Frank Zagarino is an American actor, star of low budget action movies.",0
John Zaremba was an American actor most noted for supporting roles on science fiction films and television series.,0
Michael Zarnock is an American writer of collector guides and articles about Hot Wheels toy cars and accessories.,0
Adrian Zaw is an American actor best known for his role of Syrus Primoris on the SyFy channel television series The Resistance on the SyFy channel.,0
"Terrance Zdunich  is an American artist, singer, actor, writer, composer, producer, illustrator and storyboard artist.",0
"Alfred Zeisler was an American-born German film producer, director, actor and screenwriter.",0
"Enzo Zelocchi is an Italian/American, Hollywood film producer, actor and businessman.",0
John Zenda was an American actor who starred in films and on television.,0
John Zibell is an independent actor/writer/director who has worked in New York City and Regional Theater and film.,0
"Wolfgang Zilzer was an American stage and film actor, often under the stage name Paul Andor.",0
"Wolfgang Zilzer died in Berlin on June 26, 1991 aged 90 and is buried at the Waldfriedhof Zehlendorf.",0
Efrem Zimbalist Jr. was an American actor known for his starring roles in the television series 77 Sunset Strip and The F.B.I.,0
"He is sometimes credited as Joey Zimmerman, Joseph Zimmerman, J. Paul Zimmerman and J.P. Zimmerman.",0
"Steve Zissis
is an American actor, screenwriter and producer.",0
"Bob Zmuda is an American writer, comedian, producer, and director best known for his friendship with cult personality Andy Kaufman.",0
"On camera, the character of Bob Zmuda was played by Paul Giamatti.",0
"Adam Zolotin is an American actor, best known for appearing in Leave It to Beaver and Jack.",0
"Michael Zorek is an American film and television actor perhaps best known for such films and television series as Private School, Family Ties, The Facts of Life, Hot Moves, The Woman in Red, Camp Nowhere and Teen Wolf Too.In June 2002, Zorek was featured in an article in The New York Times about life as a stay-at-home father after leaving his job as an account executive at a Manhattan public relations firm.",0
Daniel Zovatto is a Costa Rican American film and television actor.,0
"Albert Zugsmith was an American film producer, film director and screenwriter who specialized in low-budget exploitation films through the 1950s and 1960s.",0
"Jim Zulevic was an American actor, improvisational comedian, television writer, and radio host.",0
"Alan Zweibel is an American television writer, author, playwright, and screenwriter who was one of the original Saturday Night Live writers, a co-creator of It's Garry Shandling's Show, and consulting producer on Curb Your Enthusiasm.",0
"Chris Zylka is an American actor and model, known for his television roles as Jake Armstrong in The CW's The Secret Circle and Tom Garvey in HBO's The Leftovers.",0
Brian Sacca is an American actor/writer/producer who creates both digital media as well as traditional film/TV content.,0
Michael Sacks is an American actor and technology industry executive who played the role of Billy Pilgrim in George Roy Hill's Slaughterhouse Five.,0
"Alan Sader is an American TV, film, and stage actor.",0
"Thomas Sadoski is an American stage, film, and television actor.",0
"Publisher's Weekly agreed saying: ""Thomas Sadoski provides smooth, matter-of-fact narration that acts as a counterpoint to the chilling and unnerving story line"".",0
"Reza Sixo Safai is an American director, actor and producer.",0
"Jack Sahakian became the first born grandson and, when he was age 4-years-old in 1935, was awarded the money.",0
Jack Sahakian died at age 64 of liver disease at the Veterans Hospital in West Los Angeles.,0
"Raymond St. Jacques was an American actor, director and producer.",0
"Harold Sakata, born Toshiyuki Sakata was a Japanese-American Olympic weightlifter, professional wrestler, and film actor.",0
"""Jeffrey Hawkins, James Murtaugh, Greg Salata Cast in Off-Broadway's Three Men on a Horse"".",0
"Kario Salem, is an American television, film, and stage actor and screenwriter.",0
